timestamp,epoch,batch,phase,loss,accuracy,duration_sec
timestamp, epoch, batch, phase, loss, accuracy, duration_sec
-,7,-1,train,3.9526,0.4306,-
-,7,-1,val,2.4187,0.419,-
-,8,-1,train,3.8297,0.4481,-
-,8,-1,val,2.2874,0.4386,-              
-,9,-1,train,3.7159,0.4656,-
-,9,-1,val,2.2925,0.44,-
-,10,-1,train,3.6195,0.4779,-
-,10,-1,val,2.2490,0.4542,-
-,11,-1,train,3.5367,0.4905,-
-,11,-1,val,2.2204,0.4639,-
-,12,-1,train,3.4589,0.5030,-
-,12,-1,val,2.2310,0.4582,-
-,13,-1,train,3.3887,0.5130,-
-,13,-1,val,2.1686,0.4761,-
-,14,-1,train,3.3178,0.5213,-
-,14,-1,val,2.2270,0.4611,-
-,15,-1,train,3.2727,0.5284,-
-,15,-1,val,2.2053,0.4651,-
-,16,-1,train,3.2149,0.5387,-
-,16,-1,val,2.1230,0.4746,-
-,17,-1,train,3.1550,0.5479,-
-,17,-1,val,2.0980,0.4913,-
-,18,-1,train,3.1091,0.5542,-
-,18,-1,val,2.1388,0.4834,-
-,19,-1,train,3.0580,0.5640,-
-,19,-1,val,2.0178,0.5073,-
-,21,-1,train,3.0926,0.5585,-
-,21,-1,val,1.7748,0.5520,-
-,22,-1,train,3.0387,0.5659,-
-,22,-1,val,1.8795,0.5385,-
-,23,-1,train,2.9961,0.5715,-
-,23,-1,val,1.8533,0.5366,-
-,24,-1,train,2.9520,0.5817,-
-,24,-1,val,1.8697,0.5363,-
-,25,-1,train,2.1625,0.7197,-
-,25,-1,val,1.3110,0.6644,-
-,26,-1,train,1.9140,0.7613,-
-,26,-1,val,1.2898,0.6635,-
-,27,-1,train,1.7824,0.7857,-
-,27,-1,val,1.2812,0.6676,-
-,28,-1,train,1.6857,0.8023,-
-,28,-1,val,1.2796,0.6706,-
-,29,-1,train,1.5977,0.8188,-
-,29,-1,val,1.3040,0.6677,-
-,30,-1,train,1.5193,0.8335,-
-,30,-1,val,1.3004,0.6690,-
-,31,-1,train,1.4429,0.8500,-
-,31,-1,val,1.3311,0.6640,-
-,32,-1,train,1.3712,0.8642,-
-,32,-1,val,1.3474,0.6609,-
-,33,-1,train,1.2136,0.8980,-
-,33,-1,val,1.3187,0.6699,-
-,34,-1,train,1.1855,0.9043,-
-,34,-1,val,1.3151,0.6696,-
2025-12-10 23:53:23,35,-1,train,1.4682,0.8509,180.9194
2025-12-10 23:53:45,35,-1,val,0.4511,0.8915,0.0000
2025-12-10 23:56:45,36,-1,train,1.4440,0.8564,180.0830
2025-12-10 23:57:06,36,-1,val,0.4512,0.8927,0.0000
2025-12-11 00:00:07,37,-1,train,1.4175,0.8610,181.1455
2025-12-11 00:00:28,37,-1,val,0.4575,0.8908,0.0000
2025-12-11 00:03:27,38,-1,train,1.4039,0.8645,179.3835
2025-12-11 00:03:48,38,-1,val,0.4549,0.8909,0.0000
2025-12-11 00:06:50,39,-1,train,1.3836,0.8679,181.3512
2025-12-11 00:07:11,39,-1,val,0.4658,0.8873,0.0000
