timestamp,epoch,batch,phase,loss,accuracy,duration_sec
2025-12-10 20:59:16,0,-1,train,4.5915,0.0644,221.6819
2025-12-10 20:59:37,0,-1,val,3.9333,0.1281,0.0000
2025-12-10 21:03:16,1,-1,train,3.7715,0.1562,218.6018
2025-12-10 21:03:37,1,-1,val,3.4731,0.2043,0.0000
2025-12-10 21:07:16,2,-1,train,3.3731,0.2184,219.0803
2025-12-10 21:07:36,2,-1,val,3.1962,0.2547,0.0000
2025-12-10 21:11:25,3,-1,train,3.1000,0.2696,228.9315
2025-12-10 21:11:47,3,-1,val,2.9535,0.3093,0.0000
2025-12-10 21:15:38,4,-1,train,2.8976,0.3080,230.9488
2025-12-10 21:15:59,4,-1,val,2.7142,0.3536,0.0000
2025-12-10 21:19:50,5,-1,train,2.7225,0.3453,230.6432
2025-12-10 21:20:12,5,-1,val,2.6324,0.3722,0.0000
2025-12-10 21:24:04,6,-1,train,2.5838,0.3745,232.0011
2025-12-10 21:24:26,6,-1,val,2.5449,0.3933,0.0000
2025-12-10 21:28:21,7,-1,train,2.4724,0.3959,234.7152
2025-12-10 21:28:43,7,-1,val,2.5170,0.3974,0.0000
2025-12-10 21:32:35,8,-1,train,2.3730,0.4162,232.0446
2025-12-10 21:32:57,8,-1,val,2.4528,0.4073,0.0000
2025-12-10 21:36:49,9,-1,train,2.2890,0.4337,232.1108
2025-12-10 21:37:11,9,-1,val,2.3419,0.4317,0.0000
2025-12-10 21:41:05,10,-1,train,2.2317,0.4477,233.7442
2025-12-10 21:41:27,10,-1,val,2.3851,0.4289,0.0000
2025-12-10 21:45:18,11,-1,train,2.1612,0.4632,231.4541
2025-12-10 21:45:41,11,-1,val,2.2530,0.4528,0.0000
2025-12-10 21:49:35,12,-1,train,2.1113,0.4735,234.0217
2025-12-10 21:49:57,12,-1,val,2.2545,0.4517,0.0000
2025-12-10 21:53:40,13,-1,train,2.0709,0.4819,222.7115
2025-12-10 21:54:02,13,-1,val,2.2839,0.4446,0.0000
2025-12-10 21:57:46,14,-1,train,2.0165,0.4942,224.0074
2025-12-10 21:58:08,14,-1,val,2.2919,0.4438,0.0000
2025-12-10 22:02:00,15,-1,train,1.9851,0.5015,232.5004
2025-12-10 22:02:22,15,-1,val,2.2248,0.4619,0.0000
2025-12-10 22:06:15,16,-1,train,1.9412,0.5113,232.4595
2025-12-10 22:06:37,16,-1,val,2.1977,0.4663,0.0000
2025-12-10 22:10:28,17,-1,train,1.9062,0.5189,231.1135
2025-12-10 22:10:49,17,-1,val,2.1776,0.4736,0.0000
2025-12-10 22:14:42,18,-1,train,1.8811,0.5248,232.8115
2025-12-10 22:15:05,18,-1,val,2.2467,0.4629,0.0000
2025-12-10 22:18:58,19,-1,train,1.8460,0.5315,232.7489
2025-12-10 22:19:20,19,-1,val,2.1467,0.4807,0.0000
2025-12-10 22:23:09,20,-1,train,1.8057,0.5415,228.7638
2025-12-10 22:23:30,20,-1,val,2.1274,0.4807,0.0000
2025-12-10 22:27:21,21,-1,train,1.7871,0.5452,230.9354
2025-12-10 22:27:41,21,-1,val,2.1582,0.4775,0.0000
2025-12-10 22:31:34,22,-1,train,1.7595,0.5515,233.0031
2025-12-10 22:31:57,22,-1,val,2.2237,0.4687,0.0000
2025-12-10 22:35:40,23,-1,train,1.7380,0.5584,222.9158
2025-12-10 22:36:01,23,-1,val,2.1038,0.4960,0.0000
2025-12-10 22:39:40,24,-1,train,1.7141,0.5631,218.9448
2025-12-10 22:40:00,24,-1,val,2.3727,0.4596,0.0000
2025-12-10 22:43:40,25,-1,train,1.6933,0.5670,219.2184
2025-12-10 22:44:01,25,-1,val,2.2968,0.4617,0.0000
2025-12-10 22:47:40,26,-1,train,1.6618,0.5734,218.9608
2025-12-10 22:48:01,26,-1,val,2.1950,0.4818,0.0000
2025-12-10 22:51:40,27,-1,train,1.6417,0.5788,219.2483
2025-12-10 22:52:01,27,-1,val,2.2273,0.4703,0.0000
2025-12-10 22:55:53,28,-1,train,1.0830,0.7201,232.2933
2025-12-10 22:56:15,28,-1,val,1.5984,0.6055,0.0000
2025-12-10 23:00:01,29,-1,train,0.8787,0.7728,225.5401
2025-12-10 23:00:22,29,-1,val,1.5912,0.6075,0.0000
2025-12-10 23:04:02,30,-1,train,0.7790,0.7990,219.6394
2025-12-10 23:04:23,30,-1,val,1.6071,0.6054,0.0000
2025-12-10 23:08:04,31,-1,train,0.6937,0.8200,221.0168
2025-12-10 23:08:24,31,-1,val,1.6218,0.6053,0.0000
2025-12-10 23:12:04,32,-1,train,0.6234,0.8385,218.9302
2025-12-10 23:12:24,32,-1,val,1.6418,0.6033,0.0000
2025-12-10 23:16:03,33,-1,train,0.5614,0.8549,219.1656
2025-12-10 23:16:24,33,-1,val,1.6633,0.5997,0.0000
2025-12-10 23:20:05,34,-1,train,0.4603,0.8850,220.6156
2025-12-10 23:20:26,34,-1,val,1.6516,0.6039,0.0000
2025-12-10 23:24:11,35,-1,train,0.4379,0.8933,225.1043
2025-12-10 23:24:33,35,-1,val,1.6453,0.6041,0.0000
